PID,contestant,Age,Sex,Birthday,Season,Finish,Day 1 Filming date,Days,SurvAv,SurvSc,NoJ,ChW%,InChW%,TChW%,SO,TC%,wTCR,VFB%,nVFB%,VAT%,JV%,Exile,Time
AAGB37085791100749,Richard Brown,25.6,Sex 2,1979-03-13,10,15,2004-11-01,11.0,2.02,0.82,2.02,0.14,0.00,0.286,0,0.68,1.75,0.75,0.25,0.75,0.0,0,1
ABXI71146492757061,Kate Newman,,Sex 2,,34,9,,32.0,2.13,0.68,2.13,0.12,0.00,0.462,0,0.55,1.23,0.57,0.43,0.57,0.0,0,2
ABXI71146492757061,Kate Newman,,Sex 2,,30,5,,37.0,2.60,0.59,2.60,0.09,0,0.385,0,0.49,1.40,0.50,0.50,0.20,0.0,0,1
AESM15895013082264,Dr Jamie Grant,33.8,Sex 1,1970-08-29,9,1,2004-06-26,39.0,11.90,1.86,8.15,0.32,0.23,0.533,1,0.83,3.33,0.83,0.17,0.42,0.71,0,1
AFDT02440457757339,Mr Reece Jones,,Sex 2,,36,3,,39.0,6.69,1.1,6.69,0.19,0.10,0.571,1,0.91,4.24,0.91,0.09,,0.0,0,1
AFLV39435644609479,Hannah Lawrence,,Sex 1,,19,2,,39.0,7.83,1.38,6.49,0.16,0.11,0.273,1,1.0,4.67,1.00,0.00,0.07,0.222,0,1
AFLV39435644609479,Hannah Lawrence,,Sex 1,,20,3,,39.0,5.53,1.14,5.53,0.23,0.22,0.333,2,0.91,2.85,0.92,0.08,0.17,0.0,0,3
AFLV39435644609479,Hannah Lawrence,,Sex 1,,22,17,,10.0,0.24,-0.06,0.24,0.27,#DIV/0!,0.667,0,-0.33,0.00,0.00,1.00,1.00,0.0,2,3
AFOF82547811022392,Dr Charles Walker,103.5,Sex 1,,7,3,2003-06-23,38.0,4.02,0.89,4.02,0.152,0.09,0.429,2,0.74,1.91,0.75,0.25,0.33,0.0,0,1
AFOF82547811022392,Dr Charles Walker,,Sex 1,,16,20,,3.0,0.00,-0.9,0.00,0.0,0.00,0.000,0,-0.9,0.00,0.00,1.00,1.00,0.0,0,2
AGBE41959690542469,Leon White,25.9,Sex 2,1979-07-30,11,15,2005-06-27,11.0,2.17,1.06,2.17,0.706,#DIV/0!,0.714,0,0.35,1.56,0.50,0.50,0.50,0.0,0,1
AGBE98433365620858,Jean Thomas,,Sex 1,,12,11,,15.0,2.09,0.55,2.09,0.274,#DIV/0!,0.400,0,0.27,1.33,0.33,0.67,0.33,0.0,0,1
AJQQ20713046461155,Dr Mark Wood,,Sex 2,,22,5,,37.0,3.64,0.84,3.51,0.21,0.13,0.571,0,0.63,1.37,0.64,0.36,0.18,0.0,4,1
AJQQ20713046461155,Dr Mark Wood,,Sex 2,,26,7,,33.0,3.30,1.0,3.30,0.27,0.17,0.667,1,0.73,1.24,0.75,0.25,0.50,0.0,0,2
AJQQ20713046461155,Dr Mark Wood,,Sex 1,,34,8,,33.0,4.81,1.06,4.81,0.46,0.33,0.692,0,0.6,0.97,0.63,0.38,0.38,0.0,0,3
AJXG30510252206600,Andrew Alexander,25.1,Sex 1,1981-12-15,14,2,2007-02-08,39.0,6.64,1.08,6.64,0.26,0.13,0.625,0,0.82,3.82,0.82,0.18,0.18,0.0,0,1
AMVS35460503731103,Mr Dylan Roberts,,Sex 2,,4,1,,39.0,9.38,1.5,5.95,0.18,0.18,0.182,2,0.75,3.50,0.75,0.25,0.17,0.57,0,1
AMXK49936460319901,Frances Turner,,Sex 2,,22,15,,14.0,0.24,0.02,0.24,0.2,#DIV/0!,0.400,1,-0.18,0.00,0.00,1.00,0.50,0.0,1,1
ANJA83788484144373,Clive Begum,,Sex 2,,39,8,,32.0,0.99,0.52,0.99,0.04,0.00,0.182,0,0.48,0.74,0.50,0.50,,0.0,0,1
AONJ08766046194269,Ms Amber Richards,,Sex 1,,38,13,,35.0,2.06,0.63,2.06,0.18,0.00,0.400,0,0.45,1.17,0.50,0.50,,0.0,0,1
AUAD97764615278759,Lewis James-Higgins,31.5,Sex 2,1975-01-02,13,4,2006-06-26,38.0,3.82,0.94,3.82,0.15,0.00,0.571,1,0.79,2.24,0.80,0.20,0.30,0.0,0,1
AUKO45853115687103,Miss Joanna Taylor,103.8,Sex 2,,8,7,2003-11-03,30.0,3.58,0.91,3.58,0.21,0.00,0.571,2,0.69,1.91,0.75,0.25,0.50,0.0,0,2
AUKO45853115687103,Steven Robson-Campbell,32.5,Sex 2,1968-05-01,2,9,2000-10-23,24.0,2.53,0.68,2.53,0.21,0.00,0.600,0,0.46,1.56,0.50,0.50,1.00,0.0,0,1
AXYO80425209388351,Norman Lynch,27.8,Sex 1,1977-01-09,10,6,2004-11-01,33.0,5.62,1.03,5.62,0.31,0.17,0.600,3,0.72,2.63,0.75,0.25,0.25,0.0,0,1
AZBW98476591516154,Janet King-Richardson,,Sex 2,,40,5,,37.0,3.93,0.9,3.93,0.14,0.00,0.636,0,0.77,2.39,0.77,0.23,,0.0,0,2
AZBW98476591516154,Janet King-Richardson,,Sex 1,,35,1,,39.0,9.16,1.52,5.41,0.12,0.00,0.429,1,0.77,3.63,0.78,0.22,0.44,0.625,0,1
AZFH62733583011942,Jacob Harvey,,Sex 2,,35,11,,21.0,3.30,0.77,3.30,0.49,0.00,0.364,0,0.28,1.17,0.33,0.67,0.33,0.0,0,1
AZNR40368733443120,Mr Mohammed Hughes,,Sex 2,,28,10,,22.0,1.30,0.37,1.30,0.18,0.00,0.300,3,0.19,0.58,0.25,0.75,0.50,0.0,0,1
AZRZ62092028699130,Abdul Jones-Patel,24.3,Sex 2,1984-03-07,17,18,2008-06-23,3.0,0.00,-0.89,0.00,0.0,#DIV/0!,0.000,0,-0.89,0.00,0.00,1.00,1.00,0.0,0,1
AZSK99383349931751,Joshua Hayward-Davison,59.6,Sex 2,1944-11-08,9,3,2004-06-26,38.0,2.36,0.89,4.13,0.06,0.00,0.278,2,0.83,3.33,0.83,0.17,0.33,0.0,0,1
BAOM39781377878767,Michael Hutchinson,,Sex 1,,23,6,,36.0,4.73,1.07,4.73,0.16,0.13,0.571,0,0.91,3.18,0.91,0.09,0.18,0.0,1,1
BAOM39781377878767,Michael Hutchinson,,Sex 1,,26,15,,13.0,0.76,0.67,0.76,0.88,#DIV/0!,0.857,0,-0.21,0.00,0.00,1.00,0.50,0.0,0,2
BBSI55773758796915,Terence White-Waters,,Sex 2,,26,12,,22.0,2.65,1.03,2.65,0.26,0.20,0.500,1,0.77,2.04,0.80,0.20,0.20,0.0,0,1
BBSI55773758796915,Terence White-Waters,29.4,Sex 2,1979-01-17,17,7,2008-06-23,33.0,2.54,0.53,2.54,0.15,0.00,0.571,5,0.38,1.40,0.40,0.60,0.20,0.0,0,1
BCZE72883805809349,Dr Irene Owen,,Sex 2,,24,2,,39.0,6.61,1.2,5.28,0.08,0.00,0.538,1,0.9,4.20,0.90,0.10,0.20,0.22,0,1
BDUD78393005374812,Louis Hunt,,Sex 2,,37,19,,6.0,0.00,-0.56,0.00,0.0,#DIV/0!,0.000,0,-0.56,0.00,0.00,1.00,,0.0,0,1
BHMQ89304138302105,Dennis Bennett,,Sex 2,1978-11-11,16,19,,6.0,0.10,-0.52,0.10,0.083,0.00,0.500,0,-0.6,0.00,0.00,1.00,1.00,0.0,0,1
BILX67393930569137,Alexandra Evans-Chandler,,Sex 1,,39,12,,24.0,1.18,0.36,1.18,0.15,0.00,0.400,0,0.22,0.70,0.25,0.75,,0.0,0,1
BIPR71735179111936,Chelsea Sims,,Sex 2,,23,13,,20.0,2.61,0.36,2.61,0.81,#DIV/0!,0.500,0,-0.44,0.00,0.00,1.00,1.00,0.0,15,1
BKKT06039562471570,Mrs Grace Pearson,,Sex 1,,38,4,,38.0,7.34,0.95,7.34,0.38,0.36,0.375,0,0.57,1.78,0.57,0.43,,0.0,6,1
BKZN72903365567473,Terry Stewart,,Sex 1,,12,5,,33.0,2.23,0.64,2.23,0.094,0.00,0.385,1,0.55,1.23,0.57,0.43,0.43,0.0,0,1
BLIU52663446388735,Brandon Johnson-Palmer,,Sex 1,,24,11,,22.0,2.11,0.74,2.11,0.3,0.00,0.583,1,0.44,1.08,0.50,0.50,0.50,0.0,0,1
BLNK97116219062025,Jack Chapman-Jackson,,Sex 1,,27,13,,19.5,3.50,1.21,3.50,0.52,#DIV/0!,0.000,0,0.69,1.75,0.75,0.25,0.50,0.0,11,1
BLZH54952797448572,Sandra Ellis-Hardy,,Sex 2,,6,1,,39.0,13.14,2.02,7.99,0.37,0.33,0.455,2,0.81,3.27,0.82,0.18,0.36,0.86,0,1
BLZH54952797448572,Mrs Hazel Welch,103.8,Sex 2,,8,16,2003-11-03,9.0,0.27,-0.64,0.27,0.36,#DIV/0!,0.000,1,-1.0,0.00,0.00,1.00,1.00,0.0,0,2
BNEY87039901752986,Andrew Matthews,,Sex 1,,15,1,,39.0,7.86,1.66,4.44,0.1,0.00,0.583,4,0.99,3.11,1.00,0.00,0.44,0.57,0,1
BNRX43955915969956,Mrs Sandra Chandler,,Sex 1,,36,17,,12.0,2.52,1.09,2.52,0.49,#DIV/0!,0.333,0,0.6,2.07,0.67,0.33,,0.0,0,1
BQIB27435331043192,Gail Webb-Taylor,,Sex 2,,5,10,,21.0,1.93,0.89,1.93,0.231,#DIV/0!,0.273,3,0.65,1.50,0.75,0.25,1.00,0.0,0,1
BQIB27435331043192,Gail Webb-Taylor,103.8,Sex 2,,8,6,2003-11-03,33.0,3.92,0.92,3.92,0.18,0.17,0.143,3,0.74,2.33,0.75,0.25,0.13,0.0,0,2
BRMI78685475501826,Mrs Megan Edwards,21.7,Sex 1,1983-02-09,10,16,2004-11-01,8.0,2.34,0.76,2.34,0.16,0.00,0.400,0,0.6,2.07,0.67,0.33,0.67,0.0,0,1
BRQR91857861322285,Dr Claire Clark,,Sex 2,,40,19,,35.0,1.28,0.34,1.28,0.05,0.00,0.333,0,0.29,1.17,0.50,0.50,,0.0,29,2
BRQR91857861322285,Dr Claire Clark,30.0,Sex 2,1975-07-13,11,1,2005-06-27,39.0,13.16,1.95,8.01,0.258,0.18,0.692,0,0.83,4.67,0.83,0.17,0.08,0.86,0,1
